--------- beginning of main
03-03 09:01:17.001  1075  3734 E AiAiSuggestUi: Timeout while retrieving suggestContentSelections
03-03 09:01:17.001  1075  3734 E AiAiSuggestUi: java.util.concurrent.TimeoutException
03-03 09:01:17.001  1075  3734 E AiAiSuggestUi: 	at java.util.concurrent.CompletableFuture$Timeout.run(CompletableFuture.java:2908)
03-03 09:01:17.001  1075  3734 E AiAiSuggestUi: 	at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:520)
03-03 09:01:17.001  1075  3734 E AiAiSuggestUi: 	at java.util.concurrent.FutureTask.run(FutureTask.java:317)
03-03 09:01:17.001  1075  3734 E AiAiSuggestUi: 	at java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.run(ScheduledThreadPoolExecutor.java:348)
03-03 09:01:17.001  1075  3734 E AiAiSuggestUi: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1154)
03-03 09:01:17.001  1075  3734 E AiAiSuggestUi: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:652)
03-03 09:01:17.001  1075  3734 E AiAiSuggestUi: 	at java.lang.Thread.run(Thread.java:1563)
03-03 09:01:20.149  3702  3881 E MESA    : Failed to open rendernode: No such file or directory
03-03 09:01:20.149  3702  3881 E MESA    : Failed to open rendernode: No such file or directory
03-03 09:01:20.298  3702  3881 E MESA    : Failed to open rendernode: No such file or directory
03-03 09:01:20.298  3702  3881 E MESA    : Failed to open rendernode: No such file or directory
03-03 09:01:20.298  3702  3881 E MESA    : Failed to open rendernode: No such file or directory
03-03 09:01:20.299  3702  3881 E MESA    : Failed to open rendernode: No such file or directory
03-03 09:01:20.303  3702  3881 E MESA    : Failed to open rendernode: No such file or directory
03-03 09:01:20.303  3702  3881 E MESA    : Failed to open rendernode: No such file or directory
03-03 09:01:20.401  3702  3881 E MESA    : Failed to open rendernode: No such file or directory
03-03 09:01:20.445  3702  3881 E MESA    : Failed to open rendernode: No such file or directory
03-03 09:01:20.445  3702  3881 E MESA    : Failed to open rendernode: No such file or directory
03-03 09:01:20.537  3861  3861 E ashmem  : Pinning is deprecated since Android Q. Please use trim or other methods.
03-03 09:01:20.809  3861  3918 E adservices.measurement: Consent notification has not been displayed.
03-03 09:01:21.001  3878  3878 E chromium: [0303/090120.997636:ERROR:aw_component_update_service.cc(285)] No directory found for component cffplpkejcbdpfnfabnjikeicbedmifn
03-03 09:01:21.002  3878  3878 E chromium: [0303/090121.002013:ERROR:aw_component_update_service.cc(285)] No directory found for component llkgjffcdpffmhiakmfcdcblohccpfmo
03-03 09:01:21.154  3793  3793 E ashmem  : Pinning is deprecated since Android Q. Please use trim or other methods.
--------- beginning of crash
03-03 09:01:21.887  3793  3793 E AndroidRuntime: FATAL EXCEPTION: main
03-03 09:01:21.887  3793  3793 E AndroidRuntime: Process: com.georgernstgraf.aitranscribe.debug, PID: 3793
03-03 09:01:21.887  3793  3793 E AndroidRuntime: java.lang.SecurityException: com.georgernstgraf.aitranscribe.debug: One of RECEIVER_EXPORTED or RECEIVER_NOT_EXPORTED should be specified when a receiver isn't being registered exclusively for system broadcasts
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at android.os.Parcel.createExceptionOrNull(Parcel.java:3373)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at android.os.Parcel.createException(Parcel.java:3357)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at android.os.Parcel.readException(Parcel.java:3340)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at android.os.Parcel.readException(Parcel.java:3282)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at android.app.IActivityManager$Stub$Proxy.registerReceiverWithFeature(IActivityManager.java:6319)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at android.app.ContextImpl.registerReceiverInternal(ContextImpl.java:1995)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at android.app.ContextImpl.registerReceiver(ContextImpl.java:1924)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at android.app.ContextImpl.registerReceiver(ContextImpl.java:1912)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at android.content.ContextWrapper.registerReceiver(ContextWrapper.java:793)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at com.georgernstgraf.aitranscribe.ui.viewmodel.MainViewModel.registerRecordingResultReceiver(MainViewModel.kt:123)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at com.georgernstgraf.aitranscribe.ui.viewmodel.MainViewModel.<init>(MainViewModel.kt:50)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at com.georgernstgraf.aitranscribe.DaggerAITranscribeApp_HiltComponents_SingletonC$ViewModelCImpl$SwitchingProvider.get(DaggerAITranscribeApp_HiltComponents_SingletonC.java:508)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at dagger.hilt.android.internal.lifecycle.HiltViewModelFactory$2.createViewModel(HiltViewModelFactory.java:133)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at dagger.hilt.android.internal.lifecycle.HiltViewModelFactory$2.create(HiltViewModelFactory.java:104)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at dagger.hilt.android.internal.lifecycle.HiltViewModelFactory.create(HiltViewModelFactory.java:171)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at androidx.lifecycle.ViewModelProvider.get(ViewModelProvider.kt:184)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at androidx.lifecycle.ViewModelProvider.get(ViewModelProvider.kt:150)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at androidx.lifecycle.ViewModelLazy.getValue(ViewModelLazy.kt:53)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at androidx.lifecycle.ViewModelLazy.getValue(ViewModelLazy.kt:35)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at com.georgernstgraf.aitranscribe.ui.screen.MainActivity.getMainViewModel(MainActivity.kt:29)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at com.georgernstgraf.aitranscribe.ui.screen.MainActivity.access$getMainViewModel(MainActivity.kt:26)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at com.georgernstgraf.aitranscribe.ui.screen.MainActivity$onCreate$1$1$1.invoke(MainActivity.kt:46)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at com.georgernstgraf.aitranscribe.ui.screen.MainActivity$onCreate$1$1$1.invoke(MainActivity.kt:45)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.internal.ComposableLambdaImpl.invoke(ComposableLambda.jvm.kt:109)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.internal.ComposableLambdaImpl.invoke(ComposableLambda.jvm.kt:35)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at androidx.compose.material3.SurfaceKt$Surface$1.invoke(Surface.kt:134)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at androidx.compose.material3.SurfaceKt$Surface$1.invoke(Surface.kt:115)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.internal.ComposableLambdaImpl.invoke(ComposableLambda.jvm.kt:109)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.internal.ComposableLambdaImpl.invoke(ComposableLambda.jvm.kt:35)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.CompositionLocalKt.CompositionLocalProvider(CompositionLocal.kt:228)
